target_number,archetype_id,archetype_label,company_name,website_url,location_city,location_country,estimated_scale,decision_maker_name,decision_maker_title,contact_route,commercial_validation_signal,observable_friction,kachmo_solution_angle,personalized_outreach_hook
001,1: White-Label Agency,1: White-Label Agency,Deuce Studio,https://deucestudio.com,London,United Kingdom,Small team (under 15),Studio Principals,Co-Founders,info@deucestudio.com,"Luxury FMCG/lifestyle brand and packaging clients incl. Budweiser, White Rabbit Pizza Co., Lee Kum Kee, Pret, Jamie Oliver, Monotype","Pure-play brand and packaging studio: portfolio concentrates on identity/packaging shown as static case-study imagery, with no evidence of an in-house production frontend engineering bench (custom React, GSAP, WebGL). Interactive digital build work is typically sourced externally.",Wholesale creative-engineering execution arm for Next.js/GSAP/WebGL builds under mutual NDA and non-solicitation,Your packaging work for White Rabbit and Phizz is strong; we carry that craft into production React/GSAP without in-house engineering overhead.
002,1: White-Label Agency,1: White-Label Agency,Slice Design,https://slicedesign.co.uk,London,United Kingdom,Owner-run since 2004,Alan Gilbody,Owner,via contact form (slicedesign.co.uk/get-in-touch),"Packaging design for GSK, Lixir, AspenClean, Pure Nosh; 20+ years focused on FMCG packaging","Packaging-only service offering — no web or engineering capability listed; digital presence limited to studio blog/newsletter, leaving client digital touchpoints unaddressed.",Fixed-fee white-label packaging-site and microsite builds (Next.js/GSAP) delivered invisibly behind their brand,"Slice has produced refined FMCG packaging since 2004; we handle the occasional production React/GSAP build your clients need, invisibly."
003,1: White-Label Agency,1: White-Label Agency,Fellow Partners,https://fellowstudio.com,London,United Kingdom,"Independent studio, approx. 10-20 people",Studio Principals,Founders,info@fellow.partners,"International brand and marketing agency across strategy, identity and campaign for Europe and North America","Capabilities stop at strategy, identity and campaign direction — no engineering or web-development function listed, so production-grade frontend builds fall outside the studio.","Overflow execution partner for React/GSAP builds scoped per project under NDA, letting Fellow stay design-led","Fellow's cross-border campaigns are consistently sharp; when a build outgrows capacity, we act as your invisible execution arm."
004,1: White-Label Agency,1: White-Label Agency,Elouve Collective,https://www.elouvecollective.com,London,United Kingdom,Boutique luxury-branding studio,Studio Principals,Founders,via contact page (elouvecollective.com/contact),"Luxury branding for cult beauty, jewellery, fragrance and interiors brands in high-margin categories","Positioned around luxury identity and packaging; website work sits at template level rather than custom interaction, limiting how far their craft extends into live digital.",White-label custom frontend (React/GSAP) for luxury brand sites where the identity deserves a matching build,Your fragrance and jewellery identities deserve interactive sites that match; we build those quietly for partner studios.
005,1: White-Label Agency,1: White-Label Agency,LMPP Studio,https://lmpp.studio,London,United Kingdom,Retail-branding specialist studio,Studio Principals,Founders,via contact form (lmpp.studio/contact),"Award-winning retail branding and packaging (DBA Awards, Design Week); specialist in-store and retail brand systems",Retail and packaging specialism with no in-house frontend engineering; digital components of retail programmes typically handled by third parties.,"Invisible white-label partner for retail brand sites, configurators and launch microsites in Next.js/GSAP",LMPP's retail systems are excellent; we provide the quiet production-engineering layer when a brand project needs a custom build.
006,1: White-Label Agency,1: White-Label Agency,SUM Design,https://sumdesign.co.uk,London,United Kingdom,Boutique studio working with founders,Studio Principals,Founders,info@sumdesign.co.uk,"Boutique Shoreditch branding studio for founders, creative leads and in-house teams (+44 20 3920 0163)","Services centre on brand strategy, identity, print and packaging; occasional website work is standard-build rather than custom-engineered interaction.","Partner for bespoke Next.js/GSAP projects exceeding a small boutique's bandwidth, delivered under NDA","SUM's founder-led branding is distinctive; when a project needs heavier production engineering, we step in invisibly."
007,1: White-Label Agency,1: White-Label Agency,Order Design,https://order.design,Brooklyn,United States,"Small identity office, approx. 8-12 people",Jesse Reed,Principal Co-Founder,brooklyn@order.design,"Founded by Jesse Reed and Hamish Smyth; identities for Herman Miller, Apple, Kickstarter, NASA, MoMA, Floyd, Justworks",Pure brand-identity office whose portfolio is presented entirely as static typographic and mockup case studies; no web-development or engineering capability offered.,"Preferred white-label execution arm: Order designs world-class identities and we engineer the production frontend to match, under strict NDA","Order's identity systems for Herman Miller and NASA are exemplary; we engineer the production sites those identities deserve, invisibly."
008,1: White-Label Agency,1: White-Label Agency,Saint Urbain,https://www.sainturbain.com,New York,United States,"Multidisciplinary studio, approx. 8-12 people",Alex Ostroff,Founder & Creative Director,info@sainturbain.com,"Multidisciplinary creative agency (branding, art direction, packaging) with offices in New York, Los Angeles, Mexico City, Montreal",Digital delivery demonstrably outsourced (client-site credits point to external builders such as mill3.studio); no in-house production engineering bench for complex interaction.,"Trusted overflow partner for React/GSAP/WebGL builds delivered under the agency's name, with mutual non-solicitation","Saint Urbain's beauty and culture work sets a high bar; where builds exceed capacity, we serve as your silent production partner."
009,1: White-Label Agency,1: White-Label Agency,Other Means,https://othermeans.us,Brooklyn,United States,Small graphic design studio,Studio Principals,Founders,via contact page (othermeans.us/contact),"Typographic identities, print, exhibitions and websites for Figma, Artnet, MIT Technology Review, MoMA PS1, Baggu","Culture-sector studio emphasising typography, print and exhibitions; website work exists but no dedicated creative-engineering squad for GSAP/WebGL-grade interaction.","Selective white-label partnership for interactive, canvas-heavy cultural and editorial sites built in Next.js + GSAP",Other Means' typographic discipline for Artnet and MIT Tech Review is the standard we build to; happy to support complex interactive commissions.
010,1: White-Label Agency,1: White-Label Agency,Splash Creative,https://splashcreative.com,New York,United States,Senior-led studio founded 2015,David Herskowitz,Founder & Creative Director,hello@splashcreative.com,"Design-led NYC branding and web-design studio handling strategy, identity and web design for growing brands","Full-service small studio delivering marketing-grade websites; complex production creative engineering (WebGL, GSAP scroll narratives, performance-critical React) sits outside a marketing-site practice.",Discrete white-label engagements for high-interaction features and launches beyond a senior-led studio's usual scope,"Splash produces sharp identity-and-web work for New York brands; when a brief needs deeper interaction engineering, we take it off your plate under NDA."
